Product_Name,Brand,Current_Price,Original_Price,Discount(%),Rating,Ratings count,Reviews Count,Platform,Category,Product_URL,Scrape_Date,Storage
Samsung Guru 1200,Samsung,640,1599,0.59,3.1,6661,464,Flipkart,mobiles,https://www.flipkart.com/samsung-guru-1200/p/itm1f97edf0921dc?pid=MOBH8BMFNJ3BHQHY&lid=LSTMOBH8BMFNJ3BHQHYEDU4T7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBH8BMFNJ3BHQHY.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,
"Poco C71 (Cool Blue, 128 Gb)",Poco,6999,9999,0.3,4.1,12108,626,Flipkart,mobiles,https://www.flipkart.com/poco-c71-cool-blue-128-gb/p/itmfb10bdbf02c6e?pid=MOBHAFVJURDB9QYR&lid=LSTMOBHAFVJURDB9QYRYNBHTJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHAFVJURDB9QYR.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
"Motorola G45 5G (Pantone Dahlia Purple, 128 Gb)",Motorola,11999,14999,0.2,4.3,204167,10433,Flipkart,mobiles,https://www.flipkart.com/motorola-g45-5g-pantone-dahlia-purple-128-gb/p/itm06fcb77d748b2?pid=MOBHC7EW9NWAC5SH&lid=LSTMOBHC7EW9NWAC5SHC81JGK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHC7EW9NWAC5SH.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
"Redmi A3X (Midnight Black, 64 Gb)",Redmi,5999,9999,0.4,4.1,10674,463,Flipkart,mobiles,https://www.flipkart.com/redmi-a3x-midnight-black-64-gb/p/itmae02f9f3f765a?pid=MOBH2YYZES7Y5H8K&lid=LSTMOBH2YYZES7Y5H8KOV8JEN&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBH2YYZES7Y5H8K.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,64
"Ai+ Pulse (Green, 64 Gb)",Ai+,5499,7999,0.31,4.3,9756,741,Flipkart,mobiles,https://www.flipkart.com/ai-pulse-green-64-gb/p/itm07bdfc2cf54df?pid=MOBHDDQXFEAF3HZF&lid=LSTMOBHDDQXFEAF3HZFOBCCFF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHDDQXFEAF3HZF.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,64
"Motorola G05 (Plum Red, 64 Gb)",Motorola,6999,9999,0.3,4.2,49084,3352,Flipkart,mobiles,https://www.flipkart.com/motorola-g05-plum-red-64-gb/p/itm87af8109384d4?pid=MOBH5F3QKFHEGBFS&lid=LSTMOBH5F3QKFHEGBFSYF5LHW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBH5F3QKFHEGBFS.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,64
"Vivo T4 Lite 5G Charger In The Box (Titanium Gold, 128 Gb)",Vivo,10999,14999,0.26,4.4,13158,393,Flipkart,mobiles,https://www.flipkart.com/vivo-t4-lite-5g-charger-box-titanium-gold-128-gb/p/itm9886d6e522c4b?pid=MOBHDY9FWXVJYCFM&lid=LSTMOBHDY9FWXVJYCFMHXZJVU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHDY9FWXVJYCFM.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
"Redmi A5 (Jaisalmer Gold, 64 Gb)",Redmi,6499,8999,0.27,4.2,2811,126,Flipkart,mobiles,https://www.flipkart.com/redmi-a5-jaisalmer-gold-64-gb/p/itm2b4357effaa74?pid=MOBHB2HGH5DCFNWZ&lid=LSTMOBHB2HGH5DCFNWZHAP4LG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHB2HGH5DCFNWZ.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,64
"Oppo K13X 5G 6000Mah And 45W Supervooc Charger & Ai (Midnight Violet, 128 Gb)",Oppo,11999,15999,0.25,4.4,3006,360,Flipkart,mobiles,https://www.flipkart.com/oppo-k13x-5g-6000mah-45w-supervooc-charger-ai-midnight-violet-128-gb/p/itm62b2e62fbb43e?pid=MOBHDY9P4XGWMRHM&lid=LSTMOBHDY9P4XGWMRHMJEHFNR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHDY9P4XGWMRHM.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
"Redmi A5 (Just Black, 64 Gb)",Redmi,6499,8999,0.27,4.2,2811,126,Flipkart,mobiles,https://www.flipkart.com/redmi-a5-just-black-64-gb/p/itm2b4357effaa74?pid=MOBHB2HGNGFWXSGA&lid=LSTMOBHB2HGNGFWXSGAEDTCWH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHB2HGNGFWXSGA.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,64
